id,index,match_id,period,timestamp,minute,second,event_type_id,event_type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,player_id,player_name,player_position_id,player_position_name,location_x,location_y,end_location_x,end_location_y,end_location_z,impact_height,duration,under_pressure,counterpress,substituted_player_id,substituted_player_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_cross,pass_cut_back,pass_switch,assisted_shot_id,key_pass_id,follows_dribble,one_on_one,open_goal,statsbomb_xg,off_camera,out,obv_for_after,obv_for_before,obv_for_net,obv_against_after,obv_against_before,obv_against_net,obv_total_net,outcome_id,outcome_name,type_id,type_name,card_id,card_name,body_part_id,body_part_name,technique_id,technique_name,position_id,position_name,advantage,aerial_won,backheel,defensive,deflected,deflection,first_time,in_chain,miscommunication,nutmeg,offensive,overrun,penalty,recovery_failure,redirect,save_block,through_ball,throw_in,early_video_end,late_video_start,match_suspended,related_events,freeze_frame_player_id,freeze_frame_player_name,freeze_frame_player_position_id,freeze_frame_player_position_name,freeze_frame_teammate,freeze_frame_x,freeze_frame_y,formation_player_id,formation_player_name,formation_position_id,formation_position_name,formation_jersey_number
9104b56a-73ec-4d5c-a47c-5f7052a401e7,2784,3813041,2,00:39:37.985,84,37,30,Pass,177,2838,FAR Rabat,3,From Free Kick,2838,FAR Rabat,140872,Mohamed Rabie Hrimat,9,Right Defensive Midfield,42.4,12.3,36.6,53.4,,,2.483404,false,false,,,105931,Edilson Alberto Monteiro Sanches Borges,41.50723,1.7109898,2,Low Pass,false,false,true,,,false,,,,false,false,0.013552584,0.014038504,-4.8592035E-4,0.010772391,0.010157502,6.1488897E-4,-0.0011008093,,,,,,,40,Right Foot,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,942421a5-622b-496f-b963-2448a056de99,,,,,,,,,,,,
942421a5-622b-496f-b963-2448a056de99,2785,3813041,2,00:39:40.469,84,40,42,Ball Receipt*,177,2838,FAR Rabat,3,From Free Kick,2838,FAR Rabat,105931,Edilson Alberto Monteiro Sanches Borges,3,Right Center Back,36.6,53.4,,,,,,false,false,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,9104b56a-73ec-4d5c-a47c-5f7052a401e7,,,,,,,,,,,,
520816a2-69a6-41e3-bc39-70d0449bcf5e,2786,3813041,2,00:39:40.469,84,40,43,Carries,177,2838,FAR Rabat,3,From Free Kick,2838,FAR Rabat,105931,Edilson Alberto Monteiro Sanches Borges,3,Right Center Back,36.6,53.4,54.2,66.8,,,4.621741,false,false,,,,,,,,,,,,,,false,,,,false,false,0.015736608,0.013552584,0.002184024,0.01017955,0.010772391,-5.9284084E-4,0.002776865,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,534bc861-e813-4eda-ae75-eec4a0427854, 942421a5-622b-496f-b963-2448a056de99,,,,,,,,,,,
534bc861-e813-4eda-ae75-eec4a0427854,2787,3813041,2,00:39:45.090,84,45,30,Pass,177,2838,FAR Rabat,3,From Free Kick,2838,FAR Rabat,105931,Edilson Alberto Monteiro Sanches Borges,3,Right Center Back,54.2,66.8,97.2,57.3,,,2.193256,false,false,,,140867,Ismail Khafi,44.036915,-0.21743742,3,High Pass,false,false,false,,,false,,,,false,false,0.03701293,0.015736608,0.021276323,0.0076240413,0.01017955,-0.002555509,0.023831833,9,Incomplete,,,,,40,Right Foot,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1b2848f5-c6a3-4eab-bd99-f825dcce3ae0, dd576f38-709a-4c00-9903-d64f6297937b,,,,,,,,,,,
1b2848f5-c6a3-4eab-bd99-f825dcce3ae0,2788,3813041,2,00:39:47.284,84,47,42,Ball Receipt*,177,2838,FAR Rabat,3,From Free Kick,2838,FAR Rabat,140867,Ismail Khafi,23,Center Forward,98.2,56.4,,,,,,false,false,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,9,Incomplete,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,534bc861-e813-4eda-ae75-eec4a0427854,,,,,,,,,,,,
dd576f38-709a-4c00-9903-d64f6297937b,2789,3813041,2,00:39:47.284,84,47,10,Interception,177,2838,FAR Rabat,3,From Free Kick,2761,FUS Rabat,138973,Saad Ait Khorsa,5,Left Center Back,22.9,22.8,,,,,0.0,false,false,,,,,,,,,,,,,,false,,,,false,false,0.0076240413,0.01017955,-0.002555509,0.03701293,0.015736608,0.021276323,-0.023831833,13,Lost In Play,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,534bc861-e813-4eda-ae75-eec4a0427854,,,,,,,,,,,,
1ca4ea2b-7d57-4781-9677-534b28680409,2790,3813041,2,00:39:49.930,84,49,2,Ball Recovery,177,2838,FAR Rabat,3,From Free Kick,2838,FAR Rabat,140867,Ismail Khafi,23,Center Forward,117.6,64.8,,,,,0.0,false,false,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,
22c3e54d-7d05-4352-a8f8-20d94a2d93ce,2791,3813041,2,00:39:49.930,84,49,43,Carries,177,2838,FAR Rabat,3,From Free Kick,2838,FAR Rabat,140867,Ismail Khafi,23,Center Forward,117.6,64.8,114.5,63.0,,,1.668136,true,false,,,,,,,,,,,,,,false,,,,false,false,0.04787309,0.0123360185,0.03553707,0.008323667,0.011480431,-0.0031567644,0.038693838,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1ca4ea2b-7d57-4781-9677-534b28680409, b124dec9-5eb2-44bc-b228-d20b2e8ee14a, f0b1a249-e692-487f-a10a-e7a0850c3259,,,,,,,,,,
b124dec9-5eb2-44bc-b228-d20b2e8ee14a,2792,3813041,2,00:39:50.520,84,50,17,Pressure,177,2838,FAR Rabat,3,From Free Kick,2761,FUS Rabat,138973,Saad Ait Khorsa,5,Left Center Back,5.2,16.8,,,,,0.973037,false,false,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22c3e54d-7d05-4352-a8f8-20d94a2d93ce,,,,,,,,,,,,
f0b1a249-e692-487f-a10a-e7a0850c3259,2793,3813041,2,00:39:51.598,84,51,30,Pass,177,2838,FAR Rabat,3,From Free Kick,2838,FAR Rabat,140867,Ismail Khafi,23,Center Forward,114.5,63.0,114.7,59.7,,,0.186827,false,false,,,,,3.306055,-1.5102643,2,Low Pass,false,false,false,,,false,,,,false,false,0.011229541,0.04787309,-0.03664355,0.012495317,0.008323667,0.00417165,-0.0408152,9,Incomplete,,,,,38,Left Foot,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,62650c55-d7ea-4308-b0af-c24878bd1353,,,,,,,,,,,,
